CREATE TABLE "AwardsMisc" ("_name" VARCHAR(100) NOT NULL, "ID" TEXT, "award" TEXT, "_year" BIGINT, "lgID" TEXT, "note" TEXT, PRIMARY KEY ("_name"));
CREATE TABLE "HOF" ("_year" BIGINT, "hofID" VARCHAR(100) NOT NULL, "_name" TEXT, "category" TEXT, PRIMARY KEY ("hofID"));
CREATE TABLE "Teams" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "franchID" TEXT, "confID" TEXT, "divID" TEXT, "rank" BIGINT, "playoff" TEXT, "G" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "OTL" TEXT, "Pts" BIGINT, "SoW" TEXT, "SoL" TEXT, "GF" BIGINT, "GA" BIGINT, "_name" TEXT, "PIM" TEXT, "BenchMinor" TEXT, "PPG" TEXT, "PPC" TEXT, "SHA" TEXT, "PKG" TEXT, "PKC" TEXT, "SHF" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "Coaches" ("coachID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "tmID" VARCHAR(100) NOT NULL, "lgID" TEXT, "stint" BIGINT NOT NULL, "notes" TEXT, "g" BIGINT, "w" BIGINT, "l" BIGINT, "t" BIGINT, "postg" TEXT, "postw" TEXT, "postl" TEXT, "postt" TEXT, PRIMARY KEY ("coachID","_year","tmID","stint"));
CREATE TABLE "AwardsCoaches" ("coachID" TEXT, "award" TEXT, "_year" BIGINT, "lgID" TEXT, "note" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Master" ("playerID" TEXT, "coachID" TEXT, "hofID" TEXT, "firstName" TEXT, "lastName" TEXT, "nameNote" TEXT, "nameGiven" TEXT, "nameNick" TEXT, "height" TEXT, "weight" TEXT, "shootCatch" TEXT, "legendsID" TEXT, "ihdbID" TEXT, "hrefID" TEXT, "firstNHL" TEXT, "lastNHL" TEXT, "firstWHA" TEXT, "lastWHA" TEXT, "pos" TEXT, "birthYear" TEXT, "birthMon" TEXT, "birthDay" TEXT, "birthCountry" TEXT, "birthState" TEXT, "birthCity" TEXT, "deathYear" TEXT, "deathMon" TEXT, "deathDay" TEXT, "deathCountry" TEXT, "deathState" TEXT, "deathCity" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "AwardsPlayers" ("playerID" VARCHAR(100) NOT NULL, "award" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "lgID" TEXT, "note" TEXT, "pos" TEXT, PRIMARY KEY ("playerID","award","_year"));
CREATE TABLE "CombinedShutouts" ("_year" BIGINT, "_month" BIGINT, "date" BIGINT, "tmID" TEXT, "oppID" TEXT, "R_P" TEXT, "IDgoalie1" TEXT, "IDgoalie2" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Goalies" ("playerID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "stint" BIGINT NOT NULL, "tmID" TEXT, "lgID" TEXT, "GP" TEXT, "Min" TEXT, "W" TEXT, "L" TEXT, "T_OL" TEXT, "ENG" TEXT, "SHO" TEXT, "GA" TEXT, "SA" TEXT, "PostGP" TEXT, "PostMin" TEXT, "PostW" TEXT, "PostL" TEXT, "PostT" TEXT, "PostENG" TEXT, "PostSHO" TEXT, "PostGA" TEXT, "PostSA" TEXT, PRIMARY KEY ("playerID","_year","stint"));
CREATE TABLE "GoaliesSC" ("playerID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "tmID" TEXT, "lgID" TEXT, "GP" BIGINT, "Min" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "SHO" BIGINT, "GA" BIGINT, PRIMARY KEY ("playerID","_year"));
CREATE TABLE "GoaliesShootout" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "W" BIGINT, "L" BIGINT, "SA" BIGINT, "GA" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Scoring" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "lgID" TEXT, "pos" TEXT, "GP" BIGINT, "G" BIGINT, "A" BIGINT, "Pts" BIGINT, "PIM" BIGINT, "___" TEXT, "PPG" TEXT, "PPA" TEXT, "SHG" TEXT, "SHA" TEXT, "GWG" TEXT, "GTG" TEXT, "SOG" TEXT, "PostGP" TEXT, "PostG" TEXT, "PostA" TEXT, "PostPts" TEXT, "PostPIM" TEXT, "Post___" TEXT, "PostPPG" TEXT, "PostPPA" TEXT, "PostSHG" TEXT, "PostSHA" TEXT, "PostGWG" TEXT, "PostSOG" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringSC" ("playerID" TEXT, "_year" BIGINT, "tmID" TEXT, "lgID" TEXT, "pos" TEXT, "GP" BIGINT, "G" BIGINT, "A" BIGINT, "Pts" BIGINT, "PIM" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringShootout" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "S" BIGINT, "G" BIGINT, "GDG" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringSup" ("playerID" TEXT, "_year" BIGINT, "PPA" TEXT, "SHA" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "SeriesPost" ("_year" BIGINT, "round" TEXT, "series" TEXT, "tmIDWinner" TEXT, "lgIDWinner" TEXT, "tmIDLoser" TEXT, "lgIDLoser" TEXT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "GoalsWinner" BIGINT, "GoalsLoser" BIGINT, "note" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "TeamSplits" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "hW" BIGINT, "hL" BIGINT, "hT" BIGINT, "hOTL" TEXT, "rW" BIGINT, "rL" BIGINT, "rT" BIGINT, "rOTL" TEXT, "SepW" TEXT, "SepL" TEXT, "SepT" TEXT, "SepOL" TEXT, "OctW" TEXT, "OctL" TEXT, "OctT" TEXT, "OctOL" TEXT, "NovW" TEXT, "NovL" TEXT, "NovT" TEXT, "NovOL" TEXT, "DecW" TEXT, "DecL" TEXT, "DecT" TEXT, "DecOL" TEXT, "JanW" BIGINT, "JanL" BIGINT, "JanT" BIGINT, "JanOL" TEXT, "FebW" BIGINT, "FebL" BIGINT, "FebT" BIGINT, "FebOL" TEXT, "MarW" TEXT, "MarL" TEXT, "MarT" TEXT, "MarOL" TEXT, "AprW" TEXT, "AprL" TEXT, "AprT" TEXT, "AprOL" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "TeamVsTeam" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "oppID" VARCHAR(100) NOT NULL, "W" BIGINT, "L" BIGINT, "T" BIGINT, "OTL" TEXT, PRIMARY KEY ("_year","tmID","oppID"));
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('beechkr01', NULL, NULL, 'Kris', 'Beech', NULL, NULL, NULL, '75', '211', 'L', '19149', '29125', 'beechkr01', '2000', '2007', NULL, NULL, 'C', '1981', '2', '5', 'Canada', 'BC', 'Salmon Arm', NULL, NULL, NULL, NULL, NULL, NULL, 378);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('beersbo01', NULL, NULL, 'Bob', 'Beers', NULL, 'Robert Charles', NULL, '74', '200', 'R', '10082', '286', 'beersbo01', '1989', '1996', NULL, NULL, 'D', '1967', '5', '20', 'USA', 'PA', 'Pittsburgh', NULL, NULL, NULL, NULL, NULL, NULL, 379);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('beersed01', NULL, NULL, 'Eddy', 'Beers', NULL, 'Edward Joseph', NULL, '74', '195', 'L', '11949', '287', 'beersed01', '1981', '1985', NULL, NULL, 'L', '1959', '10', '12', 'Canada', 'BC', 'Merritt', NULL, NULL, NULL, NULL, NULL, NULL, 380);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('beginst01', NULL, NULL, 'Steve', 'Begin', NULL, 'Steve', NULL, '72', '193', 'L', '11469', '26801', 'beginst01', '1997', '2010', NULL, NULL, 'C', '1978', '6', '14', 'Canada', 'QC', 'Trois-Rivieres', NULL, NULL, NULL, NULL, NULL, NULL, 381);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('behlidi01', NULL, NULL, 'Dick', 'Behling', NULL, 'Clarence Richard', NULL, '73', '195', 'R', '11950', '16077', 'behlidi01', '1940', '1942', NULL, NULL, 'D', '1915', '3', '16', 'Canada', 'ON', 'Kitchener', '1994', '7', '24', 'Canada', 'ON', 'Kitchener', 382);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('behrema01', NULL, NULL, 'Marc', 'Behrend', NULL, 'Marc', NULL, '73', '180', 'L', '18425', '288', 'behrema01', '1983', '1985', NULL, NULL, 'G', '1961', '1', '11', 'USA', 'WI', 'Madison', NULL, NULL, NULL, NULL, NULL, NULL, 383);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('beislfr01', NULL, NULL, 'Frank', 'Beisler', NULL, 'Frank', NULL, '74', '190', 'L', '11951', '16189', 'beislfr01', '1936', '1939', NULL, NULL, 'D', '1913', '10', '18', 'USA', 'CT', 'New Haven', '1973', '9', '8', NULL, NULL, NULL, 384);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bekarde01', NULL, NULL, 'Derek', 'Bekar', NULL, 'Derek', NULL, '75', '197', 'L', '11471', '27656', 'bekarde01', '1999', '2003', NULL, NULL, 'L', '1975', '9', '15', 'Canada', 'BC', 'Burnaby', NULL, NULL, NULL, NULL, NULL, NULL, 385);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belakwa01', NULL, NULL, 'Wade', 'Belak', NULL, 'Wade', NULL, '77', '221', 'R', '10403', '11360', 'belakwa01', '1996', '2010', NULL, NULL, 'D', '1976', '7', '3', 'Canada', 'SK', 'Saskatoon', '2011', '8', '31', 'Canada', 'ON', 'Toronto', 386);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanal01', NULL, NULL, 'Alain', 'Belanger', NULL, 'Alain', 'Bam Bam', '73', '190', 'R', '11952', '7374', 'belanal01', '1977', '1977', NULL, NULL, 'R', '1956', '1', '18', 'Canada', 'QC', 'St. Janvier', NULL, NULL, NULL, NULL, NULL, NULL, 387);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belaner01', NULL, NULL, 'Eric', 'Belanger', NULL, NULL, NULL, '72', '188', 'L', '11473', '29579', 'belaner01', '2000', '2011', NULL, NULL, 'C', '1977', '12', '16', 'Canada', 'QC', 'Sherbrooke', NULL, NULL, NULL, NULL, NULL, NULL, 388);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanfr01', NULL, NULL, 'Francis', 'Belanger', NULL, NULL, NULL, '75', '228', 'L', '16650', '29504', 'belanfr01', '2000', '2000', NULL, NULL, 'L', '1978', '1', '15', 'Canada', 'QC', 'Bellefeuille', NULL, NULL, NULL, NULL, NULL, NULL, 389);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanje01', NULL, NULL, 'Jesse', 'Belanger', NULL, 'Jesse', NULL, '73', '190', 'R', '10085', '292', 'belanje01', '1991', '2000', NULL, NULL, 'C', '1969', '6', '15', 'Canada', 'QC', 'St. Georges Beauce', NULL, NULL, NULL, NULL, NULL, NULL, 390);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanke01', NULL, NULL, 'Ken', 'Belanger', NULL, 'Kenneth', 'The Beast/Dizzy', '76', '225', 'L', '14955', '14404', 'belanke01', '1994', '2005', NULL, NULL, 'L', '1974', '5', '14', 'Canada', 'ON', 'Sault Ste. Marie', NULL, NULL, NULL, NULL, NULL, NULL, 391);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanro01', NULL, NULL, 'Roger', 'Belanger', NULL, 'Roger', NULL, '72', '190', 'R', '11953', '9632', 'belanro01', '1984', '1984', NULL, NULL, 'R', '1965', '12', '1', 'Canada', 'ON', 'St. Catharines', NULL, NULL, NULL, NULL, NULL, NULL, 392);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belanyv01', NULL, NULL, 'Yves', 'Belanger', NULL, 'Yves', 'Toots', '71', '170', 'L', '18426', '293', 'belanyv01', '1974', '1979', NULL, NULL, 'G', '1952', '9', '30', 'Canada', 'QC', 'Baie Comeau', NULL, NULL, NULL, NULL, NULL, NULL, 393);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belesma01', NULL, NULL, 'Matt', 'Beleskey', NULL, NULL, NULL, '72', '206', 'L', '22035', '80249', 'belesma01', '2008', '2011', NULL, NULL, 'L', '1988', '6', '7', 'Canada', 'ON', 'Windsor', NULL, NULL, NULL, NULL, NULL, NULL, 394);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belfoed01', NULL, 'belfoed01h', 'Ed', 'Belfour', NULL, 'Edward John', 'The Eagle', '71', '202', 'L', '18215', '295', 'belfoed01', '1988', '2006', NULL, NULL, 'G', '1965', '4', '21', 'Canada', 'MB', 'Carman', NULL, NULL, NULL, NULL, NULL, NULL, 395);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belhumi01', NULL, NULL, 'Michel', 'Belhumeur', NULL, 'Michel', NULL, '70', '160', 'L', '18427', '296', 'belhumi01', '1972', '1975', NULL, NULL, 'G', '1949', '9', '2', 'Canada', 'QC', 'Sorel', NULL, NULL, NULL, NULL, NULL, NULL, 396);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belisda01', 'belisda01c', NULL, 'Danny', 'Belisle', NULL, 'Daniel George', NULL, '70', '164', 'R', '11954', '10655', 'belisda01', '1960', '1960', NULL, NULL, 'R', '1937', '5', '9', 'Canada', 'ON', 'South Porcupine', NULL, NULL, NULL, NULL, NULL, NULL, 397);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belivje01', NULL, 'belivje01h', 'Jean', 'Beliveau', NULL, 'Jean Arthur', 'Le Gros Bill', '75', '205', 'L', 'P197201', '297', 'belivje01', '1950', '1970', NULL, NULL, 'C', '1931', '8', '31', 'Canada', 'QC', 'Three Rivers', NULL, NULL, NULL, NULL, NULL, NULL, 398);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('belivma01', NULL, NULL, 'Marcel', 'Beliveau', NULL, 'Marcel', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 399);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellane01', NULL, NULL, 'Neil', 'Belland', NULL, 'Neil G.', NULL, '71', '180', 'L', '11959', '7445', 'bellane01', '1981', '1986', NULL, NULL, 'D', '1961', '4', '3', 'Canada', 'ON', 'Parry Sound', NULL, NULL, NULL, NULL, NULL, NULL, 400);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellawa01', NULL, NULL, 'Walt', 'Bellamy', NULL, 'Walter', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 401);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellbi01', NULL, NULL, 'Billy', 'Bell', NULL, 'William Edward', NULL, '70', '180', 'R', '11956', '29886', 'bellbi01', '1917', '1923', NULL, NULL, 'C', '1891', '6', '10', 'Canada', 'QC', 'Lachine', '1952', '6', '3', 'Canada', 'QC', 'Lachine', 402);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellbr01', NULL, NULL, 'Bruce', 'Bell', NULL, 'Bruce W.', NULL, '73', '190', 'L', '10086', '298', 'bellbr01', '1984', '1989', NULL, NULL, 'D', '1965', '2', '15', 'Canada', 'ON', 'Toronto', NULL, NULL, NULL, NULL, NULL, NULL, 403);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellbr02', NULL, NULL, 'Brendan', 'Bell', NULL, NULL, NULL, '73', '205', 'L', '20148', '48757', 'bellbr02', '2005', '2011', NULL, NULL, 'D', '1983', '3', '31', 'Canada', 'ON', 'Ottawa', NULL, NULL, NULL, NULL, NULL, NULL, 404);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellean01', NULL, NULL, 'Andy', 'Bellemer', 'also known as Bellehumeur', 'Andrew Edward', NULL, '71', '185', 'L', '11961', '20014', 'bellean01', '1932', '1932', NULL, NULL, 'D', '1903', '7', '3', 'Canada', 'ON', 'Penetanguishene', '1960', '4', '12', NULL, NULL, NULL, 405);
INSERT INTO "Master" ("playerID", "coachID", "hofID", "firstName", "lastName", "nameNote", "nameGiven", "nameNick", "height", "weight", "shootCatch", "legendsID", "ihdbID", "hrefID", "firstNHL", "lastNHL", "firstWHA", "lastWHA", "pos", "birthYear", "birthMon", "birthDay", "birthCountry", "birthState", "birthCity", "deathYear", "deathMon", "deathDay", "deathCountry", "deathState", "deathCity", "rowid") VALUES ('bellebl01', NULL, NULL, 'Blake', 'Bellefeuille', NULL, NULL, NULL, '70', '208', 'R', '19534', '19366', 'bellebl01', '2001', '2002', NULL, NULL, 'C', '1977', '12', '27', 'USA', 'MA', 'Framingham', NULL, NULL, NULL, NULL, NULL, NULL, 406);
