CREATE TABLE `runs` (`run_at` TEXT, `max_rowid` BIGINT, `reviews_added` BIGINT, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
CREATE TABLE `podcasts` (`podcast_id` VARCHAR(100) NOT NULL, `itunes_id` BIGINT, `slug` TEXT, `itunes_url` TEXT, `title` TEXT, PRIMARY KEY (`podcast_id`));
CREATE TABLE `reviews` (`podcast_id` TEXT, `title` TEXT, `content` TEXT, `rating` BIGINT, `author_id` TEXT, `created_at` TEXT, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
CREATE TABLE `categories` (`podcast_id` VARCHAR(100) NOT NULL, `category` VARCHAR(100) NOT NULL, PRIMARY KEY (`podcast_id`,`category`));
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ddd6bd999f20dda62b9354db12ccd4c3', 484973315, 'classical-minutes-musical-skills-motivation-tips-insights', 'https://podcasts.apple.com/us/podcast/classical-minutes-musical-skills-motivation-tips-insights/id484973315', 'Classical Minutes: Musical Skills and Motivation | Tips and Insights | Instrumental Coaching | Onlin...');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a98a40e547437a353817abc4ce0e9f7d', 1527589709, 'zooklifetv', 'https://podcasts.apple.com/us/podcast/zooklifetv/id1527589709', 'Zooklifetv');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('be648ff146c312bc04879d94c81b56a5', 1592216014, 'sports-with-neil-and-friends', 'https://podcasts.apple.com/us/podcast/sports-with-neil-and-friends/id1592216014', 'Sports with Neil and friends');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c80692ca762d25a8a3544d96f2249bb8', 1128550530, 'pw-sermons', 'https://podcasts.apple.com/us/podcast/pw-sermons/id1128550530', 'PW Sermons');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bdd7135cd45a07d5ae7e6696fd212e39', 1168126157, 'dream-big-podcast', 'https://podcasts.apple.com/us/podcast/dream-big-podcast/id1168126157', 'Dream Big Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e1d61d9461364468c4a83a64bde3894a', 1348004877, 'fantasy-football-fanatics-fpl-podcast', 'https://podcasts.apple.com/us/podcast/fantasy-football-fanatics-fpl-podcast/id1348004877', 'Fantasy Football Fanatics FPL Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e81f0ada4e6f199c67be620a129b56cc', 502413244, 'tosco-music-party-podcast', 'https://podcasts.apple.com/us/podcast/tosco-music-party-podcast/id502413244', 'Tosco Music Party Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e9105dd117bd71933fced924347a149d', 1376903546, 'stayin-alive-in-technology', 'https://podcasts.apple.com/us/podcast/stayin-alive-in-technology/id1376903546', 'Stayin'' Alive in Technology');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d45774f300b96ca06712bb3a0bfb7f4d', 1515215830, 'retro-51-pencast-by-daddy-daughter-pens', 'https://podcasts.apple.com/us/podcast/retro-51-pencast-by-daddy-daughter-pens/id1515215830', 'Retro 51 Pencast by Daddy-Daughter Pens');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f3bbce5e1e5e9f432006df103a00fb72', 1576464702, 'girl-talk-with-britt', 'https://podcasts.apple.com/us/podcast/girl-talk-with-britt/id1576464702', 'Girl Talk With Britt');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ad8080bc4f865583dfccf1aafb15fc6a', 1544648923, 'the-grass-is-greener-with-paul-greene', 'https://podcasts.apple.com/us/podcast/the-grass-is-greener-with-paul-greene/id1544648923', 'The Grass is Greener with Paul Greene');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e5bda934876f3c89d383330adfbfbf27', 1525724472, 'rosevile', 'https://podcasts.apple.com/us/podcast/rosevile/id1525724472', 'Rosevile');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e6481e1bb188dfe90fa2f4be38d8793f', 1561236735, 'just-chopsing', 'https://podcasts.apple.com/us/podcast/just-chopsing/id1561236735', 'Just Chopsing');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e9aeb2fc392da089bc3fbbccb3c693ff', 1158677760, 'sportsbx', 'https://podcasts.apple.com/us/podcast/sportsbx/id1158677760', 'SportsBx');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bac2850588402c9679975ef47c2e3166', 1188142876, 'the-tofugu-podcast-japan-and-japanese-language', 'https://podcasts.apple.com/us/podcast/the-tofugu-podcast-japan-and-japanese-language/id1188142876', 'The Tofugu Podcast: Japan and Japanese Language');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bb93b5bd767148002e2f352288a374a8', 1524507191, 'lets-unpack-that', 'https://podcasts.apple.com/us/podcast/lets-unpack-that/id1524507191', 'Let’s Unpack That!');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e90699d9489a23cdcf49d165fa3e7857', 1548358434, 'coffee-talk-with-char', 'https://podcasts.apple.com/us/podcast/coffee-talk-with-char/id1548358434', 'Coffee Talk With Char');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ac351b59a58431a3b226108a5f17872b', 314020330, 'emcrit-podcast', 'https://podcasts.apple.com/us/podcast/emcrit-podcast/id314020330', 'EMCrit Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c422754f34625f3269d5227eacca3d07', 1074287566, 'ppc-hero-podcast', 'https://podcasts.apple.com/us/podcast/ppc-hero-podcast/id1074287566', 'PPC Hero Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('da4b36090ef18d3425e12b6982c81f5d', 1561992813, 'womxn-things-the-podcast', 'https://podcasts.apple.com/us/podcast/womxn-things-the-podcast/id1561992813', 'Womxn Things: The Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b929ded897d5886079482b3580612940', 374342188, 'pokemon-monday', 'https://podcasts.apple.com/us/podcast/pokemon-monday/id374342188', 'Pokemon Monday');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('eba731110faded31ac8e1e42a0e19f2a', 1611899944, 'safety-stock-with-dan-and-will', 'https://podcasts.apple.com/us/podcast/safety-stock-with-dan-and-will/id1611899944', 'Safety Stock with Dan and Will');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('fe2bdda0be194c9d19e92dbccf6d6248', 1212569663, 'woodmen-valley-chapel', 'https://podcasts.apple.com/us/podcast/woodmen-valley-chapel/id1212569663', 'Woodmen Valley Chapel');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ced3caa83d3b1ae74590c148145c8021', 963456666, 'rey-rey-is-fundamental', 'https://podcasts.apple.com/us/podcast/rey-rey-is-fundamental/id963456666', 'Rey-Rey Is Fundamental');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ab158df739cbff3d15113afb51d4cd8f', 1500811115, 'smart-mandarin-katrina-lee', 'https://podcasts.apple.com/us/podcast/smart-mandarin-katrina-lee/id1500811115', 'SMART Mandarin- Katrina Lee');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a9373422f407d82d2602becb162ef5f7', 1474404757, 'great-lakes-church', 'https://podcasts.apple.com/us/podcast/great-lakes-church/id1474404757', 'Great Lakes Church');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f9f26860eccd873bd8a2903c9adbec66', 1434425470, 'tropical-depression', 'https://podcasts.apple.com/us/podcast/tropical-depression/id1434425470', 'Tropical Depression');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b56001e22339d9c999f2d1ff9d2a7777', 1483416546, 'goal-camp', 'https://podcasts.apple.com/us/podcast/goal-camp/id1483416546', 'GOAL CAMP');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d28c9e9d18565441d37bcee8d656cee2', 318725370, 'knox-pasadena-sermons', 'https://podcasts.apple.com/us/podcast/knox-pasadena-sermons/id318725370', 'Knox Pasadena Sermons');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('badabb88f730d2ba290c8e0fe1b2872e', 1472955303, 'clock-management', 'https://podcasts.apple.com/us/podcast/clock-management/id1472955303', 'Clock Management');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e81a94800c6af56624d1a9434c6aa635', 1488526846, 'the-jann-arden-podcast', 'https://podcasts.apple.com/us/podcast/the-jann-arden-podcast/id1488526846', 'The Jann Arden Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a99f7df9c8f36b6f551def99f0c9a73b', 416186223, 'glen-haven-baptist-church-podcast-podcasts', 'https://podcasts.apple.com/us/podcast/glen-haven-baptist-church-podcast-podcasts/id416186223', 'Glen Haven Baptist Church Podcast (Podcasts)');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d2f7d45edd8b9725c2d82c101b872f44', 1474831150, 'build-it-better', 'https://podcasts.apple.com/us/podcast/build-it-better/id1474831150', 'Build It Better');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e8b6f860cbfed785b7abfd4a21a307f4', 628205201, 'radio-redemption-and-power', 'https://podcasts.apple.com/us/podcast/radio-redemption-and-power/id628205201', 'Radio Redemption and Power');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f9b35e03d1722f742c4273b64133db89', 1539937391, 'port-to-port-podcast', 'https://podcasts.apple.com/us/podcast/port-to-port-podcast/id1539937391', 'Port To Port Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a0c07b74102a6225816ce47e428b2149', 1500497746, 'bishop-larry-gaiters', 'https://podcasts.apple.com/us/podcast/bishop-larry-gaiters/id1500497746', 'Bishop Larry Gaiters');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a5552cf6a0979c7c29986abf14f4b6f6', 1543749719, 'angles-podcast', 'https://podcasts.apple.com/us/podcast/angles-podcast/id1543749719', 'Angles Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c3ee0d68ea4e2c699c7a915bb4819ef8', 417027214, 'vibe-experience-ssradio', 'https://podcasts.apple.com/us/podcast/vibe-experience-ssradio/id417027214', 'Vibe Experience – SSRadio');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c5da0657260717f6fdb6bbd3899c964f', 654829947, 'mccoycast', 'https://podcasts.apple.com/us/podcast/mccoycast/id654829947', 'McCoyCast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f87e0840fb4e16c86dd1d8e82ec2282f', 1107139961, 'minutia-men-on-radio-misfits', 'https://podcasts.apple.com/us/podcast/minutia-men-on-radio-misfits/id1107139961', 'Minutia Men on Radio Misfits');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d5ac21d7313b847d3fe9ba713c66cdd6', 1488769437, 'so-you-started-a-business', 'https://podcasts.apple.com/us/podcast/so-you-started-a-business/id1488769437', 'So, you started a business...');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('afb1e513d4211a32ec07bf9db2e1ea15', 1403146417, 'schmack-talk-podcast', 'https://podcasts.apple.com/us/podcast/schmack-talk-podcast/id1403146417', 'Schmack Talk Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f467afbdff96ce6fa0070aaf07c99cb9', 1536203794, 'ponder-this-podcast', 'https://podcasts.apple.com/us/podcast/ponder-this-podcast/id1536203794', 'Ponder This Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d3eb7816f61d0d792fd04b61fa38884d', 1490053743, 'kuyperianettes', 'https://podcasts.apple.com/us/podcast/kuyperianettes/id1490053743', 'Kuyperianettes');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d912a582172111fcf5f69da3eca40528', 1565048973, 'minecraft-mit-9bit', 'https://podcasts.apple.com/us/podcast/minecraft-mit-9bit/id1565048973', 'Minecraft Mit 9Bit');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('cf8daea550b698eb0e33f085f8210a57', 1510177349, 'carving-the-divine-tv-podcast', 'https://podcasts.apple.com/us/podcast/carving-the-divine-tv-podcast/id1510177349', 'Carving the Divine TV Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e4d505c212ac41eb7e2a46a260bc3f4a', 1590930035, 'unstuck-yourself-with-crystal-simmons', 'https://podcasts.apple.com/us/podcast/unstuck-yourself-with-crystal-simmons/id1590930035', 'UnStuck Yourself with Crystal Simmons');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('af15c527c324f4e47f5a43843d25f0e6', 1340522872, 'bent-tree-bible', 'https://podcasts.apple.com/us/podcast/bent-tree-bible/id1340522872', 'Bent Tree Bible');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a3b4d4964b7f9b76d2b5f894e96a8a8a', 1429432095, 'its-all-relative', 'https://podcasts.apple.com/us/podcast/its-all-relative/id1429432095', 'It''s All Relative');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e133b03c8a744b2c6f6942b88c0efeb4', 1453407188, 'accountants-voice', 'https://podcasts.apple.com/us/podcast/accountants-voice/id1453407188', 'Accountant''s Voice');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b253fecca4f426e36d8cadece7d244a5', 1439503686, 'red-pilled-america', 'https://podcasts.apple.com/us/podcast/red-pilled-america/id1439503686', 'Red Pilled America');
